Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
399707,Prof.,Dillon,Y,Dominguez,M,dillon.dominguez@gmail.com,Wilton Dominguez,Alease Dominguez,Packer,10/22/1963,11:42:20 AM,53.8,87,1/29/2015,Q1,H1,2015,1,January,Jan,29,Thursday,Thu,2.5,53198,3%,285-15-0592,218-530-8020,Hawley,Clay,Hawley,MN,56549,Midwest,dydominguez,2LdirxG@
713294,Mr.,Sammy,Y,Dewitt,M,sammy.dewitt@ibm.com,Issac Dewitt,Laurene Dewitt,Moniz,1/24/1988,11:36:18 AM,29.53,89,12/5/2014,Q4,H2,2014,12,December,Dec,5,Friday,Fri,2.65,45889,21%,729-28-6911,206-468-7536,Redondo,King,Redondo,WA,98054,West,sydewitt,Quwicz}Ebz
627298,Mr.,Sterling,A,Serna,M,sterling.serna@hotmail.com,Emery Serna,Stephine Serna,Pulido,4/15/1985,1:58:46 PM,32.31,81,11/17/2015,Q4,H2,2015,11,November,Nov,17,Tuesday,Tue,1.7,136675,26%,512-33-9199,212-483-9629,Godeffroy,Orange,Godeffroy,NY,12739,Northeast,saserna,z9>oc+y*S%
709884,Mrs.,Ivonne,K,Manning,F,ivonne.manning@yahoo.ca,Wilbert Manning,Treva Manning,Earl,9/13/1977,8:10:53 PM,39.9,50,6/29/2002,Q2,H1,2002,6,June,Jun,29,Saturday,Sat,15.09,87746,14%,609-87-3514,701-819-7127,Donnybrook,Ward,Donnybrook,ND,58734,Midwest,ikmanning,mnJ6W:Dx[
932773,Hon.,Clair,E,Harwell,M,clair.harwell@bp.com,Jerrod Harwell,Tracie Harwell,Lafferty,8/11/1968,10:02:06 PM,48.99,87,4/14/1991,Q2,H1,1991,4,April,Apr,14,Sunday,Sun,26.31,194249,8%,626-85-0761,212-335-3305,Portland,Chautauqua,Portland,NY,14769,Northeast,ceharwell,E_;H/rBx9_Nv?@3
796605,Ms.,Jenni,A,Goolsby,F,jenni.goolsby@gmail.com,Titus Goolsby,Song Goolsby,Edge,5/13/1971,1:49:52 PM,46.24,57,10/10/2005,Q4,H2,2005,10,October,Oct,10,Monday,Mon,11.81,185593,30%,250-99-6761,236-425-5880,Ripplemead,Giles,Ripplemead,VA,24150,South,jagoolsby,KTBjHdx_tdc8
885395,Hon.,Tayna,K,Poston,F,tayna.poston@yahoo.ca,Nelson Poston,Vivien Poston,Dolan,1/15/1958,12:08:42 AM,59.57,58,1/30/2016,Q1,H1,2016,1,January,Jan,30,Saturday,Sat,1.49,149011,23%,714-18-2827,209-247-2504,San Diego,San Diego,San Diego,CA,92126,West,tkposton,QX<6#AEi4vVWzSN
411503,Prof.,Vern,F,Mackenzie,M,vern.mackenzie@gmail.com,Jame Mackenzie,Claudette Mackenzie,Nicholas,7/3/1982,12:28:39 PM,35.09,73,12/31/2016,Q4,H2,2016,12,December,Dec,31,Saturday,Sat,0.57,76401,15%,234-57-0893,236-780-5288,Annandale,Fairfax,Annandale,VA,22003,South,vfmackenzie,I/&NJoaD
622405,Mr.,Harrison,X,Hawk,M,harrison.hawk@hotmail.co.uk,Vincent Hawk,Obdulia Hawk,Weber,7/19/1962,9:56:00 AM,55.06,67,6/26/2006,Q2,H1,2006,6,June,Jun,26,Monday,Mon,11.1,191292,4%,592-99-9799,210-998-7839,Dallas,Dallas,Dallas,TX,75224,South,hxhawk,Q_TqJfDpD
233136,Mr.,Preston,U,Tribble,M,preston.tribble@exxonmobil.com,Jared Tribble,Apolonia Tribble,Meeker,11/4/1979,11:16:34 PM,37.76,76,3/20/2004,Q1,H1,2004,3,March,Mar,20,Saturday,Sat,13.36,185438,22%,149-23-1759,208-571-4789,Orofino,Clearwater,Orofino,ID,83544,West,putribble,38Tw3pt|tOMAX4
170637,Ms.,Aleen,S,Araujo,F,aleen.araujo@gmail.com,Franklyn Araujo,Coleen Araujo,Bettis,5/10/1978,3:53:14 PM,39.24,58,11/7/2004,Q4,H2,2004,11,November,Nov,7,Sunday,Sun,12.73,56546,22%,133-98-0581,205-492-3826,Mobile,Mobile,Mobile,AL,36685,South,asaraujo,Bq|uR%t>/|m0
215719,Mr.,Brent,U,Carrillo,M,brent.carrillo@aol.com,Jasper Carrillo,Dorthea Carrillo,Russo,4/2/1973,6:04:16 AM,44.35,52,3/30/2013,Q1,H1,2013,3,March,Mar,30,Saturday,Sat,4.33,192586,9%,258-99-5725,239-728-0228,Lowell,Marion,Lowell,FL,32663,South,bucarrillo,KwY0@]JJ#
452163,Mr.,Adalberto,Y,Tate,M,adalberto.tate@shaw.ca,Manuel Tate,Mellissa Tate,Morrison,3/31/1982,12:25:19 AM,35.35,85,8/15/2009,Q3,H2,2009,8,August,Aug,15,Saturday,Sat,7.96,46371,24%,032-92-8729,216-500-3888,Canton,Stark,Canton,OH,44750,Midwest,aytate,OCFPmhX0*F
572204,Mr.,Rafael,R,Weeks,M,rafael.weeks@gmail.com,Lucien Weeks,Renata Weeks,Dobson,6/7/1992,8:34:39 AM,25.16,56,10/31/2016,Q4,H2,2016,10,October,Oct,31,Monday,Mon,0.74,49301,26%,546-99-1086,212-678-8854,Niverville,Columbia,Niverville,NY,12130,Northeast,rrweeks,pK~<0k<t/UM
779517,Hon.,Aurea,H,Pullen,F,aurea.pullen@gmail.com,Darrick Pullen,Arthur Pullen,Crain,7/22/1973,2:00:02 AM,44.05,55,10/25/2016,Q4,H2,2016,10,October,Oct,25,Tuesday,Tue,0.76,137648,22%,622-85-5122,239-814-5354,Davenport,Polk,Davenport,FL,33836,South,ahpullen,D7fdw~fTX_G3CTg
844157,Hon.,Ramiro,Q,Holguin,M,ramiro.holguin@gmail.com,Rosendo Holguin,Lieselotte Holguin,Bowens,6/1/1958,5:44:07 AM,59.2,62,11/18/2002,Q4,H2,2002,11,November,Nov,18,Monday,Mon,14.7,171193,18%,104-02-1961,216-690-4327,Mount Eaton,Wayne,Mount Eaton,OH,44659,Midwest,rqholguin,6jB:x4I3~
312726,Drs.,Celine,C,Lumpkin,F,celine.lumpkin@gmail.com,Modesto Lumpkin,Markita Lumpkin,Parent,12/31/1986,2:10:31 PM,30.59,59,1/22/2008,Q1,H1,2008,1,January,Jan,22,Tuesday,Tue,9.52,124808,14%,368-39-3103,216-897-4459,Cleveland,Cuyahoga,Cleveland,OH,44178,Midwest,cclumpkin,q.2icGDg/y-:TpQ
419549,Mr.,Bryant,L,Naylor,M,bryant.naylor@hotmail.com,Scott Naylor,Yulanda Naylor,Foltz,7/19/1993,3:41:28 AM,24.04,63,10/21/2014,Q4,H2,2014,10,October,Oct,21,Tuesday,Tue,2.77,131219,12%,698-16-4709,207-532-1710,Fort Fairfield,Aroostook,Fort Fairfield,ME,4742,Northeast,blnaylor,58gQWZs-fge
505927,Hon.,Oswaldo,U,Winchester,M,oswaldo.winchester@gmail.com,Scotty Winchester,Emilee Winchester,Justus,4/8/1959,8:52:49 PM,58.35,81,9/11/1989,Q3,H2,1989,9,September,Sep,11,Monday,Mon,27.9,100218,12%,728-14-6144,479-931-1345,Little Rock,Pulaski,Little Rock,AR,72231,South,ouwinchester,wJZ&h&rrutImbo
526254,Mrs.,Kacy,G,Crandall,F,kacy.crandall@hotmail.com,Zackary Crandall,Glenn Crandall,Lindberg,9/8/1961,11:57:32 AM,55.92,60,12/25/1983,Q4,H2,1983,12,December,Dec,25,Sunday,Sun,33.61,178521,25%,171-86-6831,229-215-2471,Union City,Fulton,Union City,GA,30291,South,kgcrandall,lf[11#r$/>+.ZJ
460226,Mr.,Brock,E,Hutcherson,M,brock.hutcherson@hotmail.com,Solomon Hutcherson,Chi Hutcherson,Hurst,3/6/1995,12:34:52 AM,22.41,74,10/16/2016,Q4,H2,2016,10,October,Oct,16,Sunday,Sun,0.78,137705,1%,086-02-8001,803-570-5060,Clemson,Pickens,Clemson,SC,29631,South,behutcherson,N>dyw+gF9$EYoA
840113,Mr.,Ramiro,N,Conover,M,ramiro.conover@earthlink.net,Johnie Conover,Evan Conover,Wu,7/26/1992,5:56:17 AM,25.02,69,9/16/2016,Q3,H2,2016,9,September,Sep,16,Friday,Fri,0.86,187877,2%,494-29-8376,207-947-9487,Lee,Penobscot,Lee,ME,4455,Northeast,rnconover,xh>\9O[Z
432820,Mr.,Myron,N,Marble,M,myron.marble@gmail.com,Barton Marble,Kathryne Marble,Callaway,12/13/1980,12:15:13 PM,36.65,73,6/12/2004,Q2,H1,2004,6,June,Jun,12,Saturday,Sat,13.13,164189,14%,183-86-5370,225-988-8557,Torbert,Pointe Coupee,Torbert,LA,70781,South,mnmarble,w<lD4Yk4fX!IK[
957596,Mr.,Freeman,H,Kern,M,freeman.kern@gmail.com,Landon Kern,Susannah Kern,Allred,7/11/1963,8:59:17 AM,54.08,89,5/10/1987,Q2,H1,1987,5,May,May,10,Sunday,Sun,30.24,124776,18%,393-33-5849,303-480-2041,Powderhorn,Gunnison,Powderhorn,CO,81243,West,fhkern,yq36Zq|-
